股票代码,股票名称,昨日搜索量,今日搜索量,热度涨幅
002212,天融信,1557,1476,-0.08449032443709092
002564,天沃科技,1082,1021,-0.08533526290400384
300782,卓胜微,1502,1403,-0.08587580760947588
000768,中航西飞,1417,1330,-0.08782678316566295
000155,川能动力,1323,1246,-0.08798613026517987
002271,东方雨虹,2653,2512,-0.0887755102040817
600522,中天科技,3337,3140,-0.08879528746172616
000333,美的集团,2328,2197,-0.0888301727967824
002371,北方华创,4043,3841,-0.08928516994360614
002560,通达股份,1499,1311,-0.0895017647541656
300002,神州泰岳,1397,1322,-0.08956514577499597
600487,亨通光电,2234,2126,-0.09028278227782427
002204,大连重工,1310,1238,-0.09081814623113393
002617,露笑科技,1639,1525,-0.09114468460520508
002468,申通快递,18481,17299,-0.09133541878720375
600446,金证股份,1370,1280,-0.09222940739955487
000931,中关村,6568,6098,-0.09258881869438218
002152,广电运通,1404,1317,-0.09305156007966375
002312,川发龙蟒,1076,1010,-0.09439731702505427
600050,中国联通,9190,8459,-0.09446927598361854
600332,白云山,1652,1491,-0.09474239564943898
002621,美吉姆,1513,1391,-0.09490852513546866
600316,洪都航空,1145,1074,-0.09525351591413767
300015,爱尔眼科,2569,2358,-0.09550342588690675
002251,步步高,2695,2432,-0.09666421636967382
600085,同仁堂,2090,1929,-0.0971999583636931
002739,万达电影,2168,1992,-0.09740643905418023
000735,罗牛山,1221,1146,-0.09793768011527382
000021,深科技,1095,1031,-0.0985975350616235
000568,泸州老窖,3625,3167,-0.09886927846716143
002155,湖南黄金,1679,1572,-0.09975888120880883
600096,云天化,2802,2628,-0.09982393321331773
000516,国际医学,1321,1247,-0.10005594927265937
600030,中信证券,4933,4580,-0.10031160584799892
300390,天华超净,1261,1176,-0.10041142205385145
300003,乐普医疗,1411,1319,-0.10041778011968838
600029,南方航空,5069,4620,-0.10250415259507673
600699,均胜电子,1432,1327,-0.1032413372211296
002835,同为股份,1490,1386,-0.10364973537700206
600637,东方明珠,2918,2623,-0.10469442200846846
600832,东方明珠,2918,2623,-0.10469442200846846
002240,盛新锂能,1430,1332,-0.10477033104770328
600779,水井坊,2078,1875,-0.10483296531091957
600028,中国石化,2576,2329,-0.10509250429143613
002236,大华股份,2776,2571,-0.10518214468958442
002174,游族网络,1857,1719,-0.1062242866622427
001979,招商蛇口,1510,1393,-0.10634696755994355
000858,五粮液,7337,6247,-0.10638978173434521
002463,沪电股份,2093,1974,-0.1071140356322553
002191,劲嘉股份,1089,1021,-0.10788926578400271
300073,当升科技,1372,1276,-0.10819633904628656
000951,中国重汽,1513,1404,-0.10843538815134979
300079,数码视讯,1285,1209,-0.10865706961151655
600198,大唐电信,1137,1059,-0.10885990663650813
300212,易华录,1688,1572,-0.1091569861769095
002583,海能达,1276,1187,-0.10943396226415092
002226,江南化工,1263,1186,-0.11027705071855398
002340,格林美,2901,2689,-0.11042459946835259
000899,赣能股份,1176,1094,-0.11098147197461139
001301,尚太科技,1264,1146,-0.11134973317714425
002183,怡亚通,1571,1452,-0.11149521840268806
000063,中兴通讯,3509,3262,-0.11186419502444056
600109,国金证券,2060,1895,-0.11188533214861929
002987,京北方,1127,1039,-0.11190037709374723
000990,诚志股份,1097,1057,-0.11217483802340178
300014,亿纬锂能,2323,2128,-0.11257763975155277
000070,特发信息,1354,1270,-0.11265781806409847
002348,高乐股份,1443,1338,-0.11359820928931175
002624,完美世界,18313,16041,-0.1137362874478901
600161,天坛生物,1083,1007,-0.11373722778408513
000877,天山股份,1215,1143,-0.11385571732373623
300520,科大国创,1865,1752,-0.11390733080746629
300458,全志科技,1447,1350,-0.11405287058060343
600837,海通证券,2447,2231,-0.1144234984655852
600478,科力远,1323,1237,-0.11474580170232351
000863,三湘印象,1298,1200,-0.11484220309532467
002123,梦网科技,1239,1179,-0.11534637056678854
000810,创维数字,1227,1140,-0.11567557654394589
600116,三峡水利,1168,1091,-0.11724246560957674
002640,跨境通,1729,1569,-0.11761425565891859
002579,中京电子,2308,2142,-0.11767869365405303
600405,动力源,1423,1327,-0.1177366150723167
000783,长江证券,1596,1467,-0.11815798616594542
000729,燕京啤酒,1356,1224,-0.11815908880451897
600027,华电国际,1256,1168,-0.11821929865196656
000560,我爱我家,6134,5566,-0.11927329601818948
300738,奥飞数据,1369,1295,-0.119401324208535
600416,湘电股份,1158,1089,-0.11944129409657989
003040,楚天龙,1265,1149,-0.11991159905895765
600745,闻泰科技,2862,2663,-0.11993682066629274
002081,金螳螂,1390,1281,-0.12063043810105345
300676,华大基因,1851,1686,-0.12222846633289053
002368,太极股份,1509,1376,-0.1230499282182167
000800,一汽解放,1084,1001,-0.12425791131072228
002512,达华智能,1577,1446,-0.12450022940289718
002455,百川股份,1244,1151,-0.12464759439848394
600138,中青旅,1609,1479,-0.12624740472841744
002036,联创电子,1270,1171,-0.12741312741312738
002329,皇氏集团,1343,1226,-0.1274222622803063
600185,格力地产,1971,1810,-0.12864739756977928
002422,科伦药业,1470,1348,-0.1290911081110664
